number,event_number,particle_name,particle_id,E,Px,Py,Pz
0,0,e-,11,39.7492,19.1904,-27.1708,-21.7596
1,0,e+,-11,18.3124,6.79183,-16.6269,-3.57231
2,1,e+,-11,30.2215,-9.72897,-22.6321,-17.5063
3,2,e+,-11,26.7757,-15.3062,-20.6682,-7.44881
4,2,e-,11,69.6582,21.8254,10.6492,-65.2879
5,3,e-,11,79.8175,-52.4703,25.5491,54.4514
6,5,e+,-11,44.801,36.3808,-12.595,-22.9113
7,5,e-,11,101.347,13.1126,14.1125,-99.4996
8,6,e+,-11,61.7066,-18.9255,-58.5135,-5.06945
9,6,e-,11,97.6449,-13.3715,53.6873,80.4575
10,7,e+,-11,64.7387,20.0489,8.7757,-60.9273
11,8,e-,11,49.0391,-46.8102,12.9866,6.70667
12,8,e+,-11,29.9801,-12.0933,14.1192,-23.5204
13,9,e-,11,68.5172,4.12709,-68.3625,2.03686
14,10,e-,11,77.551,-62.5882,35.5444,28.8699
15,10,e+,-11,53.4786,-5.71707,15.434,50.8829
16,11,e-,11,205.546,-24.3286,-58.1221,195.651
17,12,e+,-11,197.621,57.4401,15.7932,-188.428
18,13,e+,-11,54.3962,49.4451,14.4831,-17.4461
19,13,e-,11,48.9165,15.4372,5.10408,-46.1353
20,14,e+,-11,220.632,39.3148,49.6484,-211.348
21,15,e+,-11,238.713,-75.4526,47.1134,221.52
22,15,e-,11,153.591,50.6987,-1.2702,144.977
23,16,e+,-11,83.6859,59.2454,51.5318,28.9446
24,17,e+,-11,156.483,-129.611,-69.4816,53.4793
25,17,e-,11,302.803,80.36,81.0684,-280.463
26,18,e+,-11,42.2771,0.270076,38.6446,17.1428
27,19,e+,-11,80.914,25.2186,25.9932,-72.3564
28,20,e+,-11,124.758,-69.252,-95.686,40.1614
29,21,e+,-11,138.668,39.7586,25.9659,-130.284
30,22,e+,-11,65.0219,10.471,-33.1543,54.9454
31,22,e-,11,42.5383,-24.4133,-13.9901,31.9025
32,23,e+,-11,118.748,-10.7786,88.375,78.579
33,24,e+,-11,149.09,35.7261,-127.062,-69.3311
34,25,e+,-11,103.216,-82.1084,19.1097,-59.5534
35,25,e-,11,15.8932,-6.63507,-13.8018,-4.2522
36,26,e-,11,67.02,-30.4727,53.6024,26.2656
37,27,e-,11,255.352,-50.277,40.8613,246.997
38,27,e+,-11,32.2843,6.34557,-20.4639,24.1504
39,28,e-,11,154.734,133.633,59.6396,50.277
