number,event_number,particle_name,particle_id,E,Px,Py,Pz
0,1,e-,11,86.6605,32.0845,31.4179,-74.1184
1,3,e-,11,44.7519,37.5385,-0.570421,-24.357
2,4,e-,11,38.1358,10.8537,34.4916,12.1189
3,4,e+,-11,95.327,-11.4187,-30.4494,89.6085
4,5,e+,-11,31.9693,1.22679,30.1962,10.4271
5,6,e+,-11,63.7425,37.7276,8.09085,50.7373
6,7,e-,11,223.004,-32.799,15.7247,-220.018
7,8,e-,11,63.2407,16.6801,-27.4304,54.4861
8,10,e+,-11,99.2295,25.9156,-23.3433,92.8976
9,11,e-,11,46.7766,-40.9123,1.10638,-22.6499
10,11,e+,-11,44.1602,39.3717,-3.38146,19.7118
11,12,e+,-11,54.5678,-10.7729,-49.0796,21.2787
12,12,e-,11,51.4469,10.978,48.9015,11.6151
13,17,e+,-11,136.848,-15.7709,-30.4052,-132.492
14,19,e-,11,72.2121,8.79129,30.3909,64.913
15,20,e-,11,147.689,44.3179,20.0253,-139.453
16,21,e+,-11,58.2609,28.8994,23.4608,44.819
17,22,e-,11,85.0208,45.2102,6.9739,-71.6655
18,22,e+,-11,111.709,-42.467,-8.56935,-102.966
19,25,e-,11,35.0357,11.8641,-2.61721,-32.8617
20,25,e+,-11,59.0965,-10.6394,3.5682,58.0213
21,26,e+,-11,171.312,31.2562,10.7049,-168.096
22,28,e-,11,44.7291,-33.9646,-13.4911,25.7893
23,30,e+,-11,177.846,-38.2256,7.06891,-173.546
24,33,e-,11,97.93,25.9975,39.4661,-85.772
25,33,e+,-11,138.269,-24.7958,-39.3407,-130.214
26,34,e-,11,41.9747,31.8423,24.3148,-12.5193
27,34,e+,-11,67.0942,-31.484,-23.0333,54.588
28,36,e-,11,70.8643,29.3721,-19.8584,-61.3569
29,36,e+,-11,35.5147,-28.5527,20.0466,6.64573
30,37,e+,-11,68.3582,-41.7494,23.699,-48.664
31,37,e-,11,60.2573,41.3696,-22.298,-37.7133
32,38,e+,-11,65.018,-32.0801,33.6667,-45.4396
33,38,e-,11,49.3931,32.1486,-29.8296,-22.7232
34,39,e+,-11,22.9366,-22.8869,1.49511,-0.201619
35,40,e+,-11,119.46,-43.3244,-5.01775,-111.214
36,40,e-,11,212.176,43.4372,2.30907,-207.669
37,42,e+,-11,72.5635,30.5319,34.4324,56.1042
38,42,e-,11,56.5018,-32.3829,-30.956,34.4316
39,44,e+,-11,45.8476,-37.1835,19.4122,-18.5082
40,44,e-,11,77.9832,36.9984,-19.1115,-65.9336
41,45,e-,11,97.6094,24.4306,18.9312,-92.587
42,45,e+,-11,30.1871,-24.7707,-17.18,1.58783
43,46,e-,11,228.637,42.2265,-11.3502,-224.417
44,47,e+,-11,39.9327,-19.2858,0.754778,-34.9586
45,48,e+,-11,48.1629,-38.2708,-3.82336,-28.9897
46,48,e-,11,147.751,36.0268,2.39022,-143.272
47,49,e+,-11,59.5725,11.5281,-8.44766,57.8327
48,49,e-,11,35.0979,-6.90505,8.53173,-33.3375
49,51,e+,-11,39.8199,-11.4312,4.62363,-37.8626
50,52,e+,-11,135.19,-11.136,22.17,-132.894
51,52,e-,11,23.4538,11.966,-20.0335,2.35628
52,54,e-,11,49.0851,-43.6255,2.97858,22.3001
53,54,e+,-11,44.214,41.5435,-3.17196,-14.7969
54,55,e+,-11,101.254,-24.2742,17.9243,-96.6536
55,55,e-,11,30.0419,24.5642,-17.1696,2.07892
56,57,e+,-11,50.5588,-26.6378,37.3288,21.2881
57,57,e-,11,58.8882,25.7657,-37.1904,37.6938
58,58,e+,-11,68.1902,-30.6404,-33.9608,-50.574
59,58,e-,11,67.9426,29.6075,34.0853,-50.7718
60,59,e-,11,150.458,-42.5187,14.3994,143.605
61,59,e+,-11,112.585,39.3592,-15.562,104.326
62,60,e-,11,46.9662,-9.68369,25.7771,38.0472
63,60,e+,-11,45.6287,7.51548,-25.6895,-36.9533
64,64,e+,-11,40.0465,-32.6883,15.9892,16.7196
65,64,e-,11,52.2857,32.238,-15.8639,-37.9848
66,65,e+,-11,37.0689,-11.5934,-12.7926,-32.8032
67,66,e-,11,149.139,-8.22437,-23.3548,-147.069
68,68,e+,-11,78.681,2.72946,44.9471,-64.5214
69,68,e-,11,87.8179,-1.2479,-44.4555,-75.7241
70,70,e-,11,96.7496,-29.5753,-33.5898,-85.7759
71,70,e+,-11,53.5796,26.0677,33.3135,-32.8855
72,71,e+,-11,39.3372,16.5599,25.814,-24.6339
73,72,e-,11,76.8609,35.488,2.87305,68.1172
74,73,e-,11,69.6804,14.6782,-16.182,-66.1668
75,74,e-,11,17.0306,-16.037,2.09872,-5.33388
76,75,e-,11,51.6571,35.8323,-19.1549,-31.8997
77,78,e-,11,44.9727,9.87667,35.5133,-25.7643
78,78,e+,-11,138.013,-11.4291,-33.3279,-133.44
79,79,e-,11,168.752,23.0074,33.6389,-163.757
80,79,e+,-11,61.0886,-20.2114,-33.6821,-46.7849
81,80,e-,11,32.3876,19.6322,14.0328,21.6013
82,81,e-,11,25.0203,3.3791,-24.3292,4.76276
83,83,e-,11,173.244,11.0117,34.982,-169.318
84,84,e+,-11,36.4532,14.6261,13.4246,30.5727
85,85,e+,-11,241.989,28.2441,30.1923,-238.431
86,86,e-,11,50.7687,12.8674,-18.745,45.3928
87,94,e+,-11,38.3524,-22.0339,-10.6544,29.5279
88,94,e-,11,50.598,18.824,10.9212,-45.6787
89,95,e-,11,48.6778,-40.37,19.4906,18.9712
90,95,e+,-11,73.3583,37.8519,-18.0073,60.203
91,96,e+,-11,65.4588,26.3885,-22.2065,55.6361
92,96,e-,11,34.8433,-23.816,22.3387,-12.1586
93,101,e+,-11,43.252,-36.6429,-20.9073,9.53535
94,101,e-,11,50.917,30.115,19.3684,-36.2007
95,102,e+,-11,10.9166,7.32094,-7.19449,-3.71697
96,103,e-,11,154.876,9.75604,23.8355,-152.72
97,104,e+,-11,46.6502,-26.7652,-32.7991,-19.5982
98,105,e-,11,41.1462,-25.5133,15.7817,-28.1607
99,107,e-,11,113.792,-25.838,-26.8768,107.512
100,107,e+,-11,206.88,26.4807,25.8527,203.543
101,108,e+,-11,46.7851,-44.776,-10.6653,8.37899
102,108,e-,11,43.5233,40.2186,8.06472,-14.55
103,109,e+,-11,43.5108,-36.8954,16.8278,-15.7717
104,109,e-,11,88.0781,36.5505,-14.2997,-78.8501
105,111,e+,-11,75.9003,43.1591,15.4807,-60.4856
106,112,e+,-11,121.812,-13.24,44.609,112.574
107,112,e-,11,84.6644,12.8045,-43.4389,71.5344
108,113,e+,-11,85.4078,28.2172,31.5249,-74.192
109,114,e+,-11,40.6287,19.8818,27.458,-22.3934
110,114,e-,11,161.692,-19.4629,-25.5393,-158.472
111,115,e+,-11,41.477,-35.5833,4.68163,-20.7908
112,116,e-,11,133.466,11.5919,31.5399,-129.167
113,117,e+,-11,83.8572,-27.5055,-25.8116,-74.8948
114,119,e+,-11,34.9599,-13.319,1.71247,32.278
115,120,e+,-11,44.2442,-34.5595,5.96048,26.9752
116,120,e-,11,40.8607,33.6764,-4.27263,-22.7429
117,121,e+,-11,95.7996,8.71652,30.6889,90.3315
118,123,e+,-11,61.4746,14.0345,23.0078,-55.2522
119,125,e+,-11,80.4755,40.9958,7.0268,68.8932
120,126,e+,-11,104.38,21.7922,43.5427,92.3273
121,126,e-,11,133.324,-19.6232,-43.1118,124.625
122,127,e+,-11,206.646,-39.4367,1.90941,202.839
123,129,e+,-11,72.6713,13.4895,-15.9059,-69.6143
124,132,e+,-11,68.4715,26.3668,-26.5031,-57.3649
125,132,e-,11,36.0563,-24.1693,26.1809,5.51942
126,134,e-,11,26.2626,-0.936221,11.0335,-23.814
127,135,e+,-11,17.4925,-16.779,4.4581,-2.13962
128,136,e+,-11,56.8835,-17.5197,-37.4213,39.0953
129,137,e+,-11,88.2624,-35.8564,13.7508,79.47
130,137,e-,11,38.0448,34.2645,-16.2132,3.23751
131,138,e+,-11,41.5396,0.256217,-34.0895,-23.7357
132,139,e+,-11,21.4375,-8.48648,-18.2151,7.46705
133,140,e-,11,55.9091,-15.8426,10.3024,52.6184
134,141,e-,11,119.774,41.3039,-14.7108,-111.46
135,142,e+,-11,145.239,35.299,-3.9164,-140.829
136,143,e-,11,75.0673,19.9552,-38.7985,61.0866
137,143,e+,-11,52.7263,-19.6512,38.9263,29.6418
138,144,e-,11,36.7828,32.9432,14.7949,-6.98801
139,146,e+,-11,63.8442,34.9459,50.1699,-18.3804
140,146,e-,11,66.161,-34.8267,-48.2999,-28.8358
141,148,e+,-11,107.195,-16.4818,-18.5361,104.286
142,149,e-,11,61.9053,2.18413,-43.9468,-43.5451
143,149,e+,-11,39.7775,-0.5172,39.7414,-1.61269
144,150,e+,-11,19,-13.3232,13.4447,-1.65262
145,151,e+,-11,53.8131,-24.1624,-32.1326,35.7705
146,151,e-,11,40.1081,22.2249,33.2818,-2.65299
147,152,e-,11,37.0483,16.2989,-27.8187,18.2494
148,152,e+,-11,154.962,-16.448,27.203,151.666
149,154,e+,-11,48.6985,46.2077,-1.47153,15.3045
150,154,e-,11,46.1446,-43.7902,2.10637,14.398
151,155,e-,11,53.3191,3.49367,26.9973,45.8461
152,157,e+,-11,15.7089,10.1604,-6.68162,-9.9444
153,159,e+,-11,14.6603,-10.5754,-8.86853,4.94311
154,160,e-,11,50.4761,36.4726,-16.5424,-30.7235
155,162,e-,11,65.81,26.7228,0.742358,-60.1356
156,163,e-,11,37.1984,36.4922,-7.20874,0.273159
157,163,e+,-11,78.624,-35.3817,3.76522,70.1119
158,164,e-,11,69.4219,-39.6238,23.0372,52.1406
159,164,e+,-11,48.242,36.7368,-22.689,21.5152
160,165,e-,11,24.5472,-22.0043,10.7846,1.43759
161,166,e-,11,43.037,-17.1774,23.6868,31.5603
162,166,e+,-11,46.7843,16.3053,-23.6718,-36.9127
163,167,e+,-11,45.7198,-41.706,-4.844,18.0954
164,167,e-,11,41.2973,40.5178,7.33387,3.15998
165,168,e-,11,138.612,-20.1794,21.4355,-135.45
166,169,e+,-11,37.5586,36.9335,0.648361,6.79269
167,169,e-,11,82.0522,-35.3017,-3.39571,73.9921
168,170,e-,11,38.0059,25.3032,26.3735,10.423
169,170,e+,-11,64.8041,-23.7831,-25.1394,-54.79
170,171,e+,-11,37.1207,-22.3118,25.3109,-15.4753
171,171,e-,11,132.419,18.0825,-23.4416,-129.067
172,172,e+,-11,143.676,12.6277,33.5446,-139.133
173,173,e+,-11,103.659,-19.9444,-18.3254,-100.058
174,175,e+,-11,51.7409,-23.4911,-8.62062,-45.2876
175,176,e-,11,57.6188,38.4091,10.2527,41.7079
176,176,e+,-11,168.88,-33.9674,-8.14041,165.229
177,177,e-,11,46.7232,38.2461,23.4683,13.0204
178,177,e+,-11,61.0615,-36.4324,-19.2947,45.0433
179,178,e-,11,29.4638,-15.8132,-24.8218,-1.39164
180,180,e-,11,78.5629,39.9766,-21.3104,64.1862
181,180,e+,-11,90.7752,-38.1751,21.1515,79.5953
182,182,e+,-11,62.8572,-1.41477,-46.7997,41.9383
183,182,e-,11,64.896,1.05375,46.5127,45.2432
184,183,e-,11,161.327,-19.8022,-22.3365,158.542
185,183,e+,-11,29.6878,19.2852,21.2478,7.61441
186,185,e+,-11,88.3333,6.62722,24.4951,-84.61
187,186,e-,11,143.073,6.74843,-34.2018,138.761
188,186,e+,-11,42.3254,-5.09332,34.445,24.0631
189,187,e+,-11,73.2483,33.9536,-17.919,62.381
190,190,e+,-11,56.1626,37.0649,17.1696,38.544
191,190,e-,11,68.6694,-36.8786,-17.4779,55.2265
192,191,e-,11,47.5337,32.6903,10.2868,32.9389
193,191,e+,-11,199.16,-33.2492,-7.958,196.204
194,192,e-,11,29.9475,5.35365,-29.1094,4.56473
195,192,e+,-11,102.275,-4.16064,28.6057,-98.1052
196,193,e-,11,42.3921,12.0461,-24.5262,-32.4106
197,193,e+,-11,47.9664,-10.5855,24.0252,40.1436
198,195,e-,11,102.897,1.10101,46.1086,91.9817
199,197,e+,-11,24.9326,19.4828,-1.46498,-15.489
200,199,e+,-11,137.978,-18.8707,-23.7019,134.611
201,199,e-,11,29.3875,18.2927,22.3716,5.33976
202,202,e-,11,46.1689,21.8994,39.5948,9.17819
203,203,e-,11,207.811,6.08917,-38.6612,204.092
204,203,e+,-11,80.5929,-4.45796,36.5807,71.6742
205,204,e-,11,92.4786,-12.636,-28.2519,-87.1462
206,205,e+,-11,62.9508,-31.936,0.834116,54.2421
207,205,e-,11,35.5579,30.3479,0.167411,-18.5294
208,206,e+,-11,53.123,21.7914,-28.09,-39.4732
209,206,e-,11,44.725,-18.0387,25.91,31.6797
210,209,e-,11,52.2783,39.5613,-7.22074,-33.4034
211,209,e+,-11,41.3534,-36.7874,6.56842,17.7101
212,210,e-,11,41.0395,38.6634,-11.8854,6.93643
213,211,e+,-11,72.066,-28.7343,-31.1808,58.2718
214,211,e-,11,51.7235,27.1761,29.8671,32.3224
215,213,e-,11,65.3053,41.3669,12.15,-49.0503
216,213,e+,-11,38.9305,-36.9497,-11.4221,4.45334
217,214,e+,-11,23.8614,-3.68927,23.0058,-5.14671
218,215,e-,11,66.1913,16.1544,-42.0774,-48.4748
219,215,e+,-11,111.649,-14.6951,41.0821,-102.771
220,217,e-,11,60.1726,34.2873,-9.04255,-48.6143
221,218,e+,-11,39.4117,12.9493,34.8771,13.007
222,221,e+,-11,170.564,-35.8051,6.23198,-166.647
223,223,e+,-11,154.568,-25.5614,-11.4258,-152.011
224,223,e-,11,24.5242,21.9144,10.3404,-3.77785
225,224,e-,11,16.5986,-10.3521,8.9498,-9.39407
226,225,e-,11,103.229,35.4284,34.9254,90.4508
227,225,e+,-11,143.648,-35.7744,-33.4667,135.037
228,226,e-,11,17.3366,-12.8421,2.65335,11.3401
229,228,e-,11,32.9699,-0.859419,23.4212,23.189
230,232,e+,-11,114.768,17.7595,-41.0753,105.684
231,234,e+,-11,68.164,6.19589,-36.3245,57.3452
232,236,e+,-11,30.7043,-30.5425,-2.13822,2.31061
233,236,e-,11,117.482,29.9193,4.01996,113.537
234,237,e+,-11,92.1035,16.6717,-6.60204,90.3411
235,237,e-,11,24.4256,-16.4885,2.57584,-17.8354
236,238,e-,11,46.3215,7.93481,45.1038,6.95451
237,238,e+,-11,45.3346,-6.20962,-44.8848,-1.42379
238,239,e+,-11,54.1936,33.3839,-32.1713,-28.0619
239,239,e-,11,44.1219,-30.4992,31.3949,-5.55897
240,240,e-,11,29.4268,-9.56141,-25.2178,-11.7721
241,241,e+,-11,116.8,-24.2561,1.27155,114.247
242,241,e-,11,24.3234,24.0992,-0.660092,-3.22759
243,244,e-,11,70.772,4.05869,-26.6474,-65.4379
244,244,e+,-11,32.3855,-2.32374,24.5052,21.0456
245,246,e-,11,35.2301,-28.4967,-1.72377,20.6428
246,247,e-,11,63.6123,10.3643,-41.7923,-46.8242
247,247,e+,-11,43.3238,-13.0322,40.6027,-7.6508
248,248,e-,11,47.9079,43.789,-6.41735,-18.3442
249,248,e+,-11,43.7623,-43,8.11635,-0.515143
