number,event_number,particle_name,particle_id,E,Px,Py,Pz
0,0,e+,-11,65.2685,20.469,-17.6066,59.4222
1,0,e-,11,63.3298,-1.94417,23.5696,58.7482
2,1,e-,11,286.743,-17.0006,-67.1494,278.25
3,1,e+,-11,40.8765,-33.0057,22.2736,-9.24112
4,2,e-,11,33.6155,-4.7512,25.5101,-21.3697
5,3,e-,11,94.822,-48.937,-72.7772,36.0535
6,4,e+,-11,104.782,30.7839,84.3997,-53.9286
7,4,e-,11,80.2133,18.8997,-73.2524,26.6657
8,5,e-,11,30.4481,-22.3991,-13.733,-15.3874
9,5,e+,-11,90.0368,-15.3074,-19.7903,-86.4907
10,7,e+,-11,92.0655,-41.2926,-33.6202,-75.1043
11,8,e-,11,76.913,-11.5152,-9.99036,75.387
12,9,e-,11,32.1982,-10.1712,30.539,-0.798888
13,9,e+,-11,65.8508,3.25253,31.441,-57.7686
14,10,e+,-11,245.174,37.0009,-88.2148,-225.742
15,11,e-,11,22.9661,-22.3568,5.17344,-0.921086
16,12,e+,-11,44.3756,36.7151,1.23855,24.893
17,13,e-,11,109.966,57.1514,-93.5941,-8.14949
18,16,e+,-11,63.6425,14.1203,35.1381,-51.1498
19,16,e-,11,16.9331,14.5067,-5.12052,7.0756
20,17,e-,11,106.189,18.6244,-50.7803,-91.3821
21,17,e+,-11,285.705,-30.7798,-36.3275,-281.709
22,19,e-,11,22.18,18.938,8.86331,7.39884
23,20,e+,-11,72.8486,48.1621,38.1923,39.0982
24,20,e-,11,190.469,9.98313,44.3509,184.965
25,21,e+,-11,112.848,103.706,4.30761,44.2855
26,21,e-,11,66.7765,-64.6979,-16.3952,-2.11398
27,23,e-,11,189.497,36.5561,105.72,152.958
28,24,e+,-11,216.984,-39.7344,-26.5433,-211.657
29,24,e-,11,56.7442,-26.5368,14.3642,-48.0559
30,26,e+,-11,131.164,-61.1669,-1.00075,-116.024
31,28,e+,-11,122.594,-78.7665,29.8419,-89.0768
32,28,e-,11,52.0425,-36.633,-1.31242,-36.9422
33,29,e+,-11,52.5115,13.5071,-48.1237,16.0973
